StmtInsertion,expr_stmt,expr_stmt,7826,28.46%,71.54%,1.96%,17.76%,51.83%,20.62%
StmtInsertion,expr_stmt,if,2985,43.99%,56.01%,0.2%,4.76%,51.06%,23.69%
StmtInsertion,expr_stmt,while,660,51.52%,48.48%,0.3%,8.79%,39.39%,16.06%
StmtInsertion,expr_stmt,continue,48,97.92%,2.08%,0.0%,0.0%,2.08%,0.0%
StmtInsertion,decl_stmt,for,2208,88.59%,11.41%,0.05%,2.13%,9.24%,4.85%
StmtInsertion,decl_stmt,decl_stmt,5304,89.37%,10.63%,0.0%,0.47%,10.16%,5.09%
StmtInsertion,decl_stmt,expr_stmt,5884,82.73%,17.27%,0.17%,5.46%,11.64%,5.06%
StmtInsertion,decl_stmt,return,3297,97.0%,3.0%,0.0%,0.0%,3.0%,2.49%
StmtInsertion,decl_stmt,if,2951,75.36%,24.64%,0.0%,0.07%,24.57%,11.76%
StmtInsertion,decl_stmt,while,463,80.35%,19.65%,0.22%,7.56%,11.88%,5.83%
StmtInsertion,decl_stmt,continue,51,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
StmtInsertion,for,return,1285,94.4%,5.6%,0.0%,0.0%,5.6%,4.9%
StmtInsertion,for,decl_stmt,2169,88.84%,11.16%,0.0%,0.0%,11.16%,6.64%
StmtInsertion,for,if,1140,76.05%,23.95%,0.0%,1.14%,22.81%,12.02%
StmtInsertion,for,for,1498,40.32%,59.68%,0.47%,16.15%,43.06%,18.29%
StmtInsertion,for,expr_stmt,2506,74.86%,25.14%,1.12%,7.06%,16.96%,8.46%
StmtInsertion,for,while,84,67.86%,32.14%,0.0%,0.0%,32.14%,4.76%
StmtInsertion,for,continue,13,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
StmtInsertion,if,decl_stmt,2791,87.1%,12.9%,0.0%,0.0%,12.9%,6.84%
StmtInsertion,if,expr_stmt,2945,52.6%,47.4%,3.84%,19.56%,24.01%,11.21%
StmtInsertion,if,if,2868,29.15%,70.85%,0.87%,4.85%,65.13%,28.38%
StmtInsertion,if,return,3566,96.86%,3.14%,0.0%,0.0%,3.14%,2.83%
StmtInsertion,if,for,1116,86.38%,13.62%,0.18%,0.9%,12.54%,7.26%
StmtInsertion,if,while,261,78.93%,21.07%,0.0%,8.05%,13.03%,7.66%
StmtInsertion,if,continue,24,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
StmtInsertion,return,decl_stmt,3318,62.15%,37.85%,4.43%,0.99%,32.43%,13.53%
StmtInsertion,return,expr_stmt,2997,59.06%,40.94%,0.73%,7.91%,32.3%,12.95%
StmtInsertion,return,for,1283,46.38%,53.62%,1.09%,12.94%,39.59%,15.59%
StmtInsertion,return,if,3549,52.89%,47.11%,0.03%,1.83%,45.25%,21.16%
StmtInsertion,return,return,4931,94.65%,5.35%,0.0%,0.02%,5.33%,4.32%
StmtInsertion,return,while,232,57.33%,42.67%,0.0%,4.31%,38.36%,21.12%
StmtInsertion,return,continue,23,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
StmtInsertion,while,if,225,44.44%,55.56%,0.0%,23.56%,32.0%,18.22%
StmtInsertion,while,expr_stmt,661,50.38%,49.62%,1.06%,31.01%,17.55%,10.74%
StmtInsertion,while,decl_stmt,470,82.98%,17.02%,0.0%,0.0%,17.02%,7.02%
StmtInsertion,while,while,159,45.28%,54.72%,0.0%,3.14%,51.57%,20.13%
StmtInsertion,while,return,253,92.09%,7.91%,0.0%,0.0%,7.91%,7.11%
StmtInsertion,while,for,105,38.1%,61.9%,0.0%,32.38%,29.52%,1.9%
StmtInsertion,while,continue,9,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
StmtInsertion,continue,expr_stmt,54,31.48%,68.52%,0.0%,0.0%,68.52%,31.48%
StmtInsertion,continue,return,22,86.36%,13.64%,0.0%,0.0%,13.64%,9.09%
StmtInsertion,continue,for,13,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
StmtInsertion,continue,if,14,7.14%,92.86%,0.0%,0.0%,92.86%,50.0%
StmtInsertion,continue,decl_stmt,48,64.58%,35.42%,0.0%,0.0%,35.42%,16.67%
StmtInsertion,continue,while,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
StmtInsertion,continue,continue,5,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
